Date,fao_fpi,fao_meat,fao_dairy,fao_cereals,fao_oils,fao_sugar,fao_fpi_real,fao_meat_real,fao_dairy_real,fao_cereals_real,fao_oils_real,fao_sugar_real,cpi_mom,cpi_p_mom,cpi_n_mom,cpi_u_mom,cpi_baz,icp_obr,icp_pish,icp_pish_sa_stl,icp_selhoz,icp_selhoz_sa_stl,ort,ort_p,ort_n,ipp,ipp_obr,ipp_prod,ipp_prod_sa_stl,kurs_nom,kurs_real,kurs_doll,kurs_doll_mom,kurs_doll_mom_sa_stl,zp_real,zp_real_sa_stl,zp_nom,ob_potreb_kred,ob_rozn_kred,ob_kred,zad_nas_kred,zad_potreb_kred,zad_kred,budj_mom,u_bezrab,unemp_sa_stl,u_potreb_mom,mp_odjp_sh_omsk,mp_odjp_sh_rf,mp_odjp_omsk,mp_odjp_rf,mp_odjp_rf_sa_stl,mp_izmp_omsk,mp_izmp_rf,mp_ojid_spros,mp_izderjki,real_income_m1,real_income_m1_sa_stl,mp_ibk_p_odj,rmci_mom,rmci_mom_sa_stl
2010-01,100.83,101.3,96.61,99.31,99.57,112.45,101.53,85.06,109.02,98.4,107.1,163.83,101.64,101.5,100,104.18,100.69,101.63,100.32,100.97,101.05,100.95,79.9,78.2,81.4,82.2,77.7,63.5,78.46,101.3,102.6,29.94,100,101.01,79,104.14,80.3,49.6,48.77,49.95,98.91,100.09,99.89,34.55,9.58,8.78,127.27,13.46,11.41,17.14,16.7,15.16,10,12.19,24.3,32.38,55.2,102.75,13.54,96.15,99.91
2010-02,97.52,100.74,93.22,95.54,100.19,96.08,99.01,85.69,101.63,94,107.31,157.41,100.85,101.2,100.36,100.88,100.47,99.53,93.2,93.06,99.43,98.96,97.2,98.7,96,104.7,107.8,126.1,115.32,101.8,102.2,30.19,100.84,101.49,97.1,99.78,98,180.72,183.18,153.77,99.26,99.09,100.38,131.9,9.58,8.61,108.93,-5.77,3.99,4.72,12.97,12.68,0.94,7.62,26.6,29.11,120.9,104.7,2.82,99.4,101.43
2010-03,97.3,101.48,100.01,97.66,102.81,73.4,96.34,86.96,101.64,91.81,110.32,115.53,100.41,100.82,100.03,100.19,100.23,100.71,101.75,101.87,105.79,105.22,104,101.1,106.6,110,115.1,122.3,109.38,102.4,102.5,29.56,97.91,98.53,108.7,101.96,109.1,126.06,130.5,101.93,99.5,99.33,100.35,123.21,9.5,8.61,116.39,-1.89,-2.74,9.09,10.55,11.1,-2.4,5.67,31.6,20.57,101.9,102.51,3.26,99.4,100.06
2010-04,100.56,102.91,108.01,98.79,99.13,88.14,96.87,89.49,109.78,90.7,109.36,101.84,100.14,100.1,100.15,100.17,100.15,103.22,99.15,99.21,96.24,96.78,99.1,101.4,97.1,96.7,100.3,100,101.57,101.6,101.6,29.2,98.78,99.45,100.3,100.33,100.4,109.92,111.82,119.79,99.73,99.45,100.68,100.33,9.22,8.58,140.85,3.7,-3.86,8.57,9.5,10.83,-3.35,4.4,31.9,19.23,108.1,101.62,2.52,99.39,100.86
2010-05,99.43,100.35,101.84,99.88,97.99,92.42,96.32,89.8,111.8,90.59,107.17,94.11,100.38,100.33,100.12,100.83,99.99,100.44,102.64,102.66,98.63,98.96,102.3,100.1,104.1,104.8,109.7,108.5,106.65,100.3,100.7,30.35,103.94,103.53,98.1,97.39,98.5,118.82,114.05,76.77,100.34,100.44,101.36,90.09,8.35,8.12,113,-7.41,0.86,4.31,9.31,10.47,-8.17,3.94,25.8,13.46,91.2,96.56,-2.03,99.19,100.37
2010-06,99.44,101.17,98.82,96.95,98.94,104.27,95.78,90.85,110.48,87.83,106.03,98.14,100.48,100.69,100.18,100.48,100.15,106.95,104.3,104.45,91.28,90.58,102.5,101.4,103.4,95.1,95.2,100.2,100.78,99.4,99.9,31.17,102.7,101.87,108.8,105.47,109.3,107.06,109.94,140.93,100.4,100.41,100.45,116.75,7.58,7.85,117.7,12.96,11.01,6.7,11.04,11.06,-8.65,4.25,22.2,15.46,107.3,101.26,-1.13,97.95,100.22
2010-07,104.4,101.11,102.17,108.52,103.87,109.97,99.99,91.85,112.88,95.31,110.13,107.92,100.63,100.59,100.64,100.67,100.74,95.73,98.22,97.77,98.25,99.49,101.5,102.4,100.7,107.7,108.8,105,107.56,98.7,99.1,30.68,98.43,98.67,96.9,104.5,97.5,109.35,108.5,79.9,101.34,101.78,100.61,119.42,7.01,7.8,101.5,44.44,25.24,17.79,14.43,15.21,5.26,9.12,29,10.48,107.4,112.88,11.43,104.82,101.32
2010-08,107.71,100.87,99.48,118.54,110.6,106.2,107.7,92.65,112.3,112.98,121.8,114.61,100.98,101.92,100.34,100.16,101.25,99.18,102.24,101.66,102.05,103.74,104.7,102,107,106.9,107,94.7,101.88,99.7,100.1,30.34,98.89,97.42,97.2,100.13,98.2,100.59,103.67,106.35,101.43,101.28,101.79,74.99,7.1,8.09,102.96,39.62,29.75,17.31,16.1,16.78,6.73,12.02,21.3,5.74,93.6,92.77,11.95,103.6,101.95
2010-09,106.01,99.88,103.36,111.51,102.5,121.08,114.17,92.54,116.07,125.99,124.85,138.77,100.26,100.88,100.38,98.98,100.57,100.63,101.53,101.79,125.68,126.94,98.7,92.7,103.7,94.4,92.9,89.3,89.79,97.9,98.1,30.84,101.65,101.46,102.7,100.47,103,109.78,108.4,111.26,101.15,100.86,101.27,127.2,6.82,7.69,102.16,32.08,22.88,16.75,14.61,15,10.05,12.8,8.7,18.18,98.5,103.14,13.37,104.44,102.14
2010-10,105.2,101.61,104.62,103.69,111.47,109.81,120.11,94.02,121.43,130.64,139.18,152.38,100.51,100.88,100.53,99.81,100.68,101.32,100.64,101.02,122.6,122.29,105,101.5,107.6,104.6,100.2,101.3,97.42,97.4,97.4,30.32,98.31,98.72,97.9,97.67,98.4,90.54,92.46,123.49,100.91,100.87,100.26,88.09,7.08,7.71,79.58,37.74,23.5,18.27,17.04,17.2,8.65,12.61,4.3,20.57,109.9,106.66,13.41,105.91,102.3
2010-11,103.37,102.26,97.82,101.38,110.56,106.89,124.16,96.14,118.78,132.44,153.87,162.89,100.87,101.44,100.72,100.02,100.74,103.98,101.08,101.09,105.21,102.63,100.6,100.2,100.9,99.4,99.1,104,104.72,98.8,99.4,30.97,102.14,101.06,102.4,102.13,103.3,84.77,88.77,88.61,100.36,100.01,100.57,101.96,7.54,7.81,87.61,9.62,22.34,17.54,23.4,22.23,15.17,12.02,-8.5,28.57,98.5,102.16,16.35,102.62,103.36
2010-12,104.18,101.29,98.91,105.54,108.05,106.71,129.35,97.39,117.48,139.77,166.27,173.82,101.06,101.95,100.41,100.29,100.61,102.58,103.13,102.66,111.39,111.06,120.9,135.4,110.8,108.6,104.9,94.7,96.04,102.8,103.4,30.85,99.61,99.99,126.2,101.35,127.6,119.57,139.59,134.31,100.94,98.98,99.68,183.45,8.46,8.18,101.01,13.46,22.4,22.01,29.72,27.63,13.88,13.62,1.9,35.89,134,99.48,17.9,102.04,101
2011-01,103.39,100.28,104.55,103.71,104.95,105.45,120.43,87.95,110.62,130.54,157.14,165.08,102.18,101.91,100.82,104.28,100.99,98.57,99.21,99.85,111.52,111.43,71.9,74,70.1,80.7,76.8,71.3,86.23,101.4,103.4,30.08,97.5,98.52,73.7,98.83,75.3,64.06,49.18,62.69,99.52,99.68,101.36,32.01,8.32,7.52,102,23.08,18.7,25,24.27,22.72,22.71,23.75,21.5,34.93,55.9,103.43,23.85,100,103.76
2011-02,102.94,102.76,106.09,104.52,100.54,99.53,123.98,90.37,117.35,136.44,157.99,164.31,100.64,100.74,99.9,101.37,100.62,99.55,101.51,101.37,103.45,102.98,97.8,97.1,98.3,101,104.6,121.9,111.18,101.7,101.8,29.29,97.37,98.02,96.8,99.47,97.4,121.4,130.91,118.02,100.75,100.84,102.44,152.92,8.81,7.83,99.02,11.11,9.09,15.53,18.2,17.92,12.5,15.99,26.7,35.27,117.1,100.93,14.01,100.67,102.7
2011-03,97.57,103.16,104.26,96.1,92.97,89.03,120.96,93.23,122.35,131.11,146.89,146.29,100.47,100.52,100.43,100.43,100.51,99.72,99.95,100.07,102.47,101.9,119.3,112.3,125.6,110.9,115.2,120.3,107.41,101.6,101.5,28.43,97.06,97.68,111.8,105.04,112.4,133.81,129.69,146.25,101.62,102.3,104.28,120.24,9.04,8.16,113.86,-16.67,1.1,9.13,15.34,15.9,5.29,11.47,30.1,30.92,113.9,114.56,7.2,99.67,100.33
2011-04,101.59,104.08,99.05,104.26,99.8,92.83,122.89,97.04,121.19,136.7,146.6,135.8,100.06,99.91,100.43,99.84,100.14,105.49,99.64,99.7,100.26,100.8,101.6,101.2,102,99.5,102.3,101,102.55,99.1,98.8,28.1,98.84,99.5,98.3,98.34,98.4,118.23,115.04,93,103.02,104.18,102.82,100.84,9.43,8.79,116.52,-22.22,-4.39,6.25,12.9,14.22,-1.44,9.31,24.9,24.27,103.2,96.7,2.37,99.83,101.3
